1,1,purge brew,0,1
2,1,purge brew,15,2
3,1,circ brew,0,3
4,1,n2 purge brew,5,4
5,1,circ bright,0,5
6,1,circ bright,15,6
7,1,n2 purge bright,5,7
8,1,done,0,8
9,2,N2,10,1
10,2,drain,30,2
11,2,done,0,3
12,3,pre-vacuum,30,1
13,3,vacuum-infuse,120,2
14,3,pre-migrate,5,3
15,3,migrate,20,4
16,3,steep under vacuum,300,5
17,3,pressurize,30,6
18,3,steep,300,7
19,3,pressurize,30,8
20,3,steep,300,9
21,3,pre-drip,15,10
22,3,drip,45,11
23,3,pre-infuse/pre-eject,0,12
24,3,inject pre fill,15,13
25,3,infuse/eject,30,14
26,3,inject prefill,15,15
27,3,nitrogenate/eject,15,16
28,3,nitrogenate,360,17
29,3,decant,60,18
30,3,done,0,19
