262,17,6,closed,6
263,17,7,closed,7
264,17,8,closed,8
265,17,9,closed,9
266,17,10,closed,10
267,17,11,open,11
268,17,12,open,12
269,17,13,closed,13
270,17,14,closed,14
271,17,15,open,15
272,17,16,closed,16
273,18,1,closed,1
274,18,2,open,2
275,18,3,open,3
276,18,4,open,4
277,18,5,open,5
278,18,6,open,6
279,18,7,closed,7
280,18,8,open,8
281,18,9,closed,9
282,18,10,closed,10
283,18,11,open,11
284,18,12,closed,12
285,18,13,closed,13
286,18,14,closed,14
287,18,15,closed,15
288,18,16,closed,16
289,19,1,closed,1
290,19,2,open,2
291,19,3,open,3
292,19,4,open,4
293,19,5,open,5
294,19,6,open,6
295,19,7,closed,7
296,19,8,open,8
297,19,9,closed,9
298,19,10,closed,10
299,19,11,open,11
300,19,12,closed,12
301,19,13,closed,13
302,19,14,closed,14
303,19,15,open,15
304,19,16,closed,16
305,20,1,closed,1
306,20,2,open,2
307,20,3,open,3
308,20,4,open,4
309,20,5,open,5
310,20,6,closed,6
311,20,7,closed,7
312,20,8,closed,8
313,20,9,closed,9
314,20,10,closed,10
315,20,11,closed,11
316,20,12,closed,12
317,20,13,closed,13
318,20,14,closed,14
319,20,15,open,15
320,20,16,closed,16
321,21,1,closed,1
322,21,2,open,2
323,21,3,closed,3
324,21,4,open,4
325,21,5,open,5
326,21,6,open,6
327,21,7,closed,7
328,21,8,closed,8
329,21,9,open,9
330,21,10,closed,10
331,21,11,closed,11
332,21,12,open,12
333,21,13,closed,13
334,21,14,closed,14
335,21,15,open,15
336,21,16,closed,16
337,22,1,open,1
338,22,2,open,2
339,22,3,open,3
340,22,4,open,4
341,22,5,closed,5
342,22,6,open,6
343,22,7,closed,7
344,22,8,closed,8
345,22,9,closed,9
346,22,10,closed,10
347,22,11,closed,11
348,22,12,open,12
349,22,13,closed,13
350,22,14,open,14
351,22,15,open,15
352,22,16,closed,16
353,24,1,closed,1
354,24,2,closed,2
355,24,3,closed,3
356,24,4,closed,4
357,24,5,closed,5
358,24,6,closed,6
359,24,7,closed,7
360,24,8,closed,8
361,24,9,closed,9
362,24,10,closed,10
363,24,11,closed,11
364,24,12,closed,12
365,24,13,closed,13
366,24,14,closed,14
367,24,15,closed,15
368,24,16,closed,16
369,27,1,closed,1
370,27,2,open,2
371,27,3,open,3
372,27,4,closed,4
373,27,5,closed,5
374,27,6,open,6
375,27,7,closed,7
376,27,8,closed,8
377,27,9,closed,9
378,27,10,closed,10
379,27,11,closed,11
380,27,12,closed,12
381,27,13,closed,13
382,27,14,closed,14
383,27,15,closed,15
384,27,16,closed,16
385,28,1,open,1
386,28,2,open,2
387,28,3,open,3
388,28,4,closed,4
389,28,5,closed,5
390,28,6,open,6
391,28,7,closed,7
392,28,8,closed,8
393,28,9,closed,9
394,28,10,closed,10
395,28,11,closed,11
396,28,12,open,12
397,28,13,closed,13
398,28,14,closed,14
399,28,15,closed,15
400,28,16,closed,16
401,29,1,open,1
402,29,2,open,2
403,29,3,open,3
404,29,4,open,4
405,29,5,closed,5
406,29,6,closed,6
407,29,7,closed,7
408,29,8,closed,8
409,29,9,closed,9
410,29,10,closed,10
411,29,11,closed,11
412,29,12,open,12
413,29,13,closed,13
414,29,14,closed,14
415,29,15,open,15
416,29,16,closed,16
417,30,1,open,1
418,30,2,open,2
419,30,3,open,3
420,30,4,open,4
421,30,5,closed,5
422,30,6,closed,6
423,30,7,closed,7
424,30,8,closed,8
425,30,9,closed,9
426,30,10,closed,10
427,30,11,closed,11
428,30,12,closed,12
429,30,13,closed,13
430,30,14,open,14
431,30,15,open,15
432,30,16,closed,16
433,31,1,open,1
434,31,2,open,2
435,31,3,open,3
436,31,4,open,4
437,31,5,open,5
438,31,6,open,6
439,31,7,closed,7
440,31,8,closed,8
441,31,9,closed,9
442,31,10,closed,10
443,31,11,closed,11
444,31,12,closed,12
445,31,13,closed,13
446,31,14,closed,14
447,31,15,closed,15
448,31,16,closed,16
449,32,1,closed,1
450,32,2,closed,2
451,32,3,closed,3
452,32,4,closed,4
453,32,5,closed,5
454,32,6,closed,6
455,32,7,closed,7
456,32,8,closed,8
457,32,9,closed,9
458,32,10,closed,10
459,32,11,closed,11
460,32,12,closed,12
461,32,13,closed,13
462,32,14,closed,14
463,32,15,closed,15
464,32,16,open,16
465,33,1,closed,1
466,33,2,closed,2
467,33,3,closed,3
468,33,4,open,4
469,33,5,closed,5
470,33,6,open,6
471,33,7,open,7
472,33,8,closed,8
473,33,9,closed,9
474,33,10,closed,10
475,33,11,closed,11
476,33,12,closed,12
477,33,13,closed,13
478,33,14,closed,14
479,33,15,closed,15
480,33,16,open,16
481,34,1,closed,1
482,34,2,closed,2
483,34,3,closed,3
484,34,4,open,4
485,34,5,closed,5
486,34,6,open,6
487,34,7,open,7
488,34,8,closed,8
489,34,9,closed,9
490,34,10,open,10
491,34,11,closed,11
492,34,12,closed,12
493,34,13,closed,13
494,34,14,closed,14
495,34,15,closed,15
496,34,16,open,16
497,35,1,closed,1
498,35,2,closed,2
499,35,3,closed,3
500,35,4,closed,4
501,35,5,closed,5
502,35,6,open,6
503,35,7,open,7
504,35,8,closed,8
505,35,9,closed,9
506,35,10,closed,10
507,35,11,closed,11
508,35,12,closed,12
509,35,13,closed,13
510,35,14,closed,14
511,35,15,closed,15
512,35,16,open,16
513,36,1,closed,1
514,36,2,open,2
515,36,3,open,3
516,36,4,closed,4
517,36,5,closed,5
518,36,6,closed,6
519,36,7,open,7
520,36,8,closed,8
521,36,9,closed,9
522,36,10,closed,10
523,36,11,closed,11
524,36,12,closed,12
525,36,13,closed,13
526,36,14,closed,14
527,36,15,closed,15
528,36,16,open,16
529,37,1,closed,1
530,37,2,open,2
531,37,3,open,3
532,37,4,closed,4
533,37,5,closed,5
534,37,6,closed,6
535,37,7,open,7
536,37,8,closed,8
537,37,9,closed,9
538,37,10,closed,10
539,37,11,closed,11
540,37,12,closed,12
541,37,13,closed,13
542,37,14,open,14
543,37,15,open,15
544,37,16,open,16
545,38,1,closed,1
546,38,2,open,2
547,38,3,closed,3
548,38,4,closed,4
549,38,5,closed,5
550,38,6,open,6
551,38,7,closed,7
552,38,8,closed,8
553,38,9,closed,9
554,38,10,closed,10
555,38,11,closed,11
556,38,12,closed,12
557,38,13,open,13
558,38,14,closed,14
559,38,15,open,15
560,38,16,closed,16
561,39,1,closed,1
562,39,2,closed,2
563,39,3,closed,3
564,39,4,closed,4
565,39,5,closed,5
566,39,6,closed,6
567,39,7,closed,7
568,39,8,closed,8
569,39,9,closed,9
570,39,10,closed,10
571,39,11,closed,11
572,39,12,closed,12
573,39,13,closed,13
574,39,14,closed,14
575,39,15,closed,15
576,39,16,closed,16
577,40,1,closed,1
578,40,2,closed,2
579,40,3,closed,3
580,40,4,open,4
581,40,5,closed,5
582,40,6,closed,6
583,40,7,closed,7
584,40,8,closed,8
585,40,9,closed,9
586,40,10,closed,10
587,40,11,closed,11
588,40,12,closed,12
589,40,13,open,13
590,40,14,closed,14
591,40,15,closed,15
592,40,16,closed,16
593,41,1,closed,1
